,2D-0,2D-1,3D-0,3D-1,3D-2,Country,class,binary_class,continent_name,ISO_A3,continent_colors
91,-0.36045449497064835,-0.04147712778095805,-0.3604544949709706,-0.04147751459031573,-0.18083675001205102,MALAWI,America,red,Africa,MWI,orange
92,-0.3647723041458272,0.07692587054787403,-0.36477230414556894,0.07692657236037877,-0.03335153891149557,MALAYSIA,America,red,Asia,MYS,red
93,-0.3292813259108825,-0.10888355980634451,-0.3292813259103386,-0.10888384432720556,-0.019290155489423248,MALI,America,red,Africa,MLI,orange
94,-0.3882906025161464,0.2059818819184396,-0.38829060251716624,0.2059824437549734,0.003513585501830075,MALTA,America,red,Europe,MLT,purple
95,-0.31445709536146943,-0.09880960177896825,-0.3144570953613395,-0.09881026063937513,-0.13272297424263768,MAURITANIA,America,red,Africa,MRT,orange
96,-0.37328878309262475,0.03373654357367859,-0.37328878309339003,0.033735408070478215,-0.04768165880376843,MAURITIUS,America,red,Africa,MUS,orange
97,-0.30590884072505137,-0.12478674965222869,-0.3059088407256252,-0.12478620146738166,-0.05282868028235298,"MICRONESIA, FEDERATED STATES OF",America,red,Australia,FSM,blue
98,-0.26953511315435347,-0.06594568481213153,-0.26953511315645023,-0.06594763895883718,-0.04974420303996641,"MOLDOVA, REPUBLIC OF",America,red,Europe,MDA,purple
99,-0.3227558723256034,0.014449596877623823,-0.3227558723257161,0.014449418769731272,-0.05339763763320118,MONGOLIA,America,red,Asia,MNG,red
100,-0.31956679558739676,0.16258600563907544,-0.31956679558613155,0.16258641957010844,0.0011930903327121048,MONTENEGRO,America,red,Europe,MNE,purple
101,-0.32690511898821656,-0.006698289434326398,-0.3269051189889912,-0.006698415122901986,-0.018714009613776127,MOROCCO,America,red,Africa,MAR,orange
102,-0.40874178779784415,0.1438635683861545,-0.4087417877973798,0.14386402798368805,-0.14616970779776522,MOZAMBIQUE,America,red,Africa,MOZ,orange
103,-0.3471988725605736,0.011611121098602465,-0.34719887255855736,0.011613178122724027,-0.002552065612712173,MYANMAR,America,red,Asia,MMR,red
104,-0.3151701731435911,-0.02957960729787001,-0.3151701731461136,-0.029580402558654035,-0.10287752950712234,NEPAL,America,red,Asia,NPL,red
105,-0.34493631846724,0.3016084325734895,-0.3449363184668678,0.30160839829434966,0.02965755642953702,NETHERLANDS,America,red,Europe,NLD,purple
106,-0.316658200983876,0.10639198426772366,-0.316658200982817,0.10639269436947292,-0.08963916674157861,NEW ZEALAND,America,red,Australia,NZL,blue
107,-0.3936929904474968,-0.16466175544583725,-0.3936929904480825,-0.16466159054563803,0.28168685113597014,NICARAGUA,America,red,Central America,NIC,lightgreen
108,-0.3655173526716761,-0.01855615692676353,-0.36551735267058383,-0.0185557059540574,-0.18302505297171284,NIGER,America,red,Africa,NER,orange
109,-0.36257944949592763,0.04848513078287603,-0.36257944949539106,0.04848542411124312,-0.161890141795082,NIGERIA,America,red,Africa,NGA,orange
110,-0.3352745826507086,0.31199950644437,-0.33527458264937277,0.3119997275274743,0.0015370571151081783,NORTH MACEDONIA,America,red,Europe,MKD,purple
111,-0.35593929475336616,0.33458938763679313,-0.35593929475194896,0.3345900796599882,0.08447650329450103,NORWAY,America,red,Europe,NOR,purple
112,-0.3337829375966389,-0.060370538205126875,-0.3337829375994318,-0.060370936708679816,0.014737209188263654,OMAN,America,red,Asia,OMN,red
113,-0.3671602493995212,0.03526774904620242,-0.36716024940171427,0.03526754191734678,-0.03661304879949411,PAKISTAN,America,red,Asia,PAK,red
114,-0.37081728498469707,0.23616852677561134,-0.3708172849892435,0.23616636701621535,0.055163665744780654,"PALESTINE, STATE OF",America,red,Asia,PSE,red
115,-0.32005508194539245,-0.2602352841091262,-0.3200550819446424,-0.26023605324866494,0.2421926100031427,PANAMA,America,red,Central America,PAN,lightgreen
116,-0.33577099083517925,-0.11350180178675931,-0.3357709908349011,-0.11350302618724768,-0.08242528553262504,PAPUA NEW GUINEA,America,red,Australia,PNG,blue
117,-0.2311105532958145,-0.2543476002696552,-0.23111055329326935,-0.25434692064545755,-0.06155335438789925,PARAGUAY,America,red,South America,PRY,green
118,-0.33385916290609025,-0.24710065326972366,-0.33385916290608386,-0.2471009081546066,0.28574393633213035,PERU,America,red,South America,PER,green
119,-0.3769386910037571,-0.0834548012817677,-0.3769386910029395,-0.08345410548283702,0.13179307184727437,PHILIPPINES,America,red,Asia,PHL,red
120,-0.32159202659224617,0.3889290252076052,-0.3215920265898567,0.3889293570870252,0.19086348412083104,POLAND,America,red,Europe,POL,purple
121,-0.4016431898266486,0.4102661197999647,-0.4016431898262786,0.4102652612656806,0.07026494142991406,PORTUGAL,America,red,Europe,PRT,purple
122,-0.32445226590085174,-0.044034298669887305,-0.32445226590479487,-0.044035036363461566,0.027653567337083323,QATAR,America,red,Asia,QAT,red
123,-0.24438555780721427,0.26447658009155306,-0.24438555780331703,0.2644787222506056,0.05708863563329908,ROMANIA,America,red,Europe,ROU,purple
124,-0.09707259127944268,0.1764946331950875,-0.09707259127657261,0.17649619547358952,0.06743673171344602,RUSSIAN FEDERATION,America,red,Europe,RUS,purple
125,-0.22591417697376548,-0.2221546174695828,-0.2259141769713797,-0.2221538926092573,-0.16680576069324254,RWANDA,America,red,Africa,RWA,orange
126,-0.30006803510311564,-0.04129299160483057,-0.3000680351013213,-0.04129218633683758,-0.07524136979363208,SAMOA,America,red,Australia,WSM,blue
127,-0.3917251682637743,0.20052582870839913,-0.39172516826704395,0.20052420472973814,0.02857040667142169,SAUDI ARABIA,America,red,Asia,SAU,red
128,-0.355203704189208,-0.04785534261852684,-0.3552037041871231,-0.047855454329330235,-0.218620598167437,SENEGAL,America,red,Africa,SEN,orange
129,-0.30466547773679953,-0.11361411511756016,-0.30466547773659797,-0.11361514346481213,0.11333098689933861,SERBIA,America,red,Europe,SRB,purple
130,-0.32035838583440546,-0.05859133963987041,-0.32035838583370757,-0.058591211350819516,-0.13673658857073606,SIERRA LEONE,America,red,Africa,SLE,orange
131,-0.38738855159501373,0.021376144804173644,-0.3873885515927221,0.021378050556334464,0.010723765274836237,SINGAPORE,America,red,Asia,SGP,red
132,-0.28257238199738843,0.37976753285260356,-0.28257238199433304,0.3797692463730774,0.044941039019457056,SLOVAKIA,America,red,Europe,SVK,purple
133,-0.33320211946088696,0.3594632451463973,-0.33320211945788886,0.35946494707394866,0.02096778341281874,SLOVENIA,America,red,Europe,SVN,purple
134,-0.2502749540125623,-0.1597073026961857,-0.25027495401133015,-0.15970668589386414,-0.1739212060899248,SOMALIA,America,red,Africa,SOM,orange
135,-0.37535426178866044,0.10958612170860577,-0.37535426178845516,0.10958657929752974,-0.22043187604306103,SOUTH AFRICA,America,red,Africa,ZAF,orange
136,-0.2286404542991483,-0.23567234078692034,-0.22864045430346938,-0.23566715245698636,-0.15584393638415822,SOUTH SUDAN,America,red,Africa,SSD,orange
137,-0.332621068275189,-0.05011269231358651,-0.33262106827328586,-0.05011168477224945,0.1313135971169556,SPAIN,America,red,Europe,ESP,purple
138,-0.2974782446996261,-0.002400593777884086,-0.2974782446997546,-0.0024006766947471496,-0.06383008418927515,SRI LANKA,America,red,Asia,LKA,red
139,-0.3168458809808296,-0.061649293176409714,-0.31684588098644195,-0.06164550463549988,-0.12532442484214923,SUDAN,America,red,Africa,SDN,orange
140,-0.38062939928149936,0.25796084090744853,-0.3806293992815275,0.25796083539128284,0.03757599119191889,SURINAME,America,red,South America,SUR,green
141,-0.3599463075732568,0.05536421855809698,-0.3599463075753076,0.055364522638616624,0.09413702407449363,SWEDEN,America,red,Europe,SWE,purple
142,-0.3601196882626638,0.07969662120436298,-0.3601196882642914,0.07969660309145768,0.059279754416406934,SWITZERLAND,America,red,Europe,CHE,purple
143,-0.13247810640095886,0.09202761625105699,-0.13247810640133978,0.09202580341015923,0.08840391170205858,SYRIAN ARAB REPUBLIC,America,red,Asia,SYR,red
144,-0.3308252544274396,-0.11268102049014515,-0.3308252544303159,-0.11268346763691821,-0.1018303070142354,TAJIKISTAN,America,red,Asia,TJK,red
145,-0.3618783843519253,0.013536958388112523,-0.36187838435103725,0.013537353246710213,-0.22417906974285756,"TANZANIA, UNITED REPUBLIC OF",America,red,Africa,TZA,orange
146,-0.35736080119539504,-0.0016731517893631565,-0.357360801193995,-0.0016718360840688425,-0.022670484451549518,THAILAND,America,red,Asia,THA,red
147,-0.23414109746928422,-0.3002134383967883,-0.23414109746904044,-0.300215280225389,-0.1033293717755943,TIMOR-LESTE,America,red,Asia,TLS,red
148,-0.3892019856348661,-0.1829274811059782,-0.3892019856340627,-0.18292747005532692,0.1893594872037028,TOGO,America,red,Africa,TGO,orange
149,-0.38435029265014453,0.12637536369905983,-0.38435029265053855,0.12637598138669331,0.06826237404345582,TRINIDAD AND TOBAGO,America,red,North America,TTO,yellow
150,-0.3482793046393323,-0.027808482437513205,-0.3482793046403597,-0.027808494660370876,-0.03331460504265456,TUNISIA,America,red,Africa,TUN,orange
151,-0.3547084815523013,0.08333942783546659,-0.35470848155273216,0.08333818858331227,0.2719643924034467,TURKEY,America,red,Europe,TUR,purple
152,-0.31632565472403945,-0.05784751818817439,-0.31632565472267965,-0.05784699136743208,-0.24850656306412416,UGANDA,America,red,Africa,UGA,orange
